time,flux,flux_err
0.000,1.0000,0.001
0.021,0.9998,0.001
0.042,1.0001,0.001
0.063,0.9999,0.001
0.084,1.0002,0.001
0.105,0.9997,0.001
0.126,0.9999,0.001
0.147,1.0001,0.001
0.168,0.9998,0.001
0.189,1.0000,0.001
0.210,0.9996,0.001
0.231,0.9892,0.001
0.252,0.9785,0.001
0.273,0.9780,0.001
0.294,0.9782,0.001
0.315,0.9888,0.001
0.336,0.9997,0.001
0.357,1.0000,0.001
0.378,0.9999,0.001
0.399,1.0001,0.001
0.420,0.9998,0.001
0.441,1.0000,0.001
0.462,0.9999,0.001
0.483,1.0002,0.001
0.504,1.0001,0.001
0.525,0.9998,0.001
0.546,1.0000,0.001
0.567,0.9999,0.001
0.588,1.0001,0.001
0.609,0.9998,0.001
0.630,1.0000,0.001
0.651,0.9999,0.001
0.672,1.0002,0.001
0.693,1.0000,0.001
0.714,0.9998,0.001
0.735,1.0001,0.001
0.756,0.9999,0.001
0.777,1.0000,0.001
0.798,0.9998,0.001
0.819,1.0001,0.001
0.840,0.9999,0.001
0.861,1.0000,0.001
0.882,0.9998,0.001
0.903,1.0002,0.001
0.924,1.0001,0.001
0.945,0.9999,0.001
0.966,1.0000,0.001
0.987,0.9998,0.001
1.008,1.0001,0.001
1.029,0.9999,0.001
1.050,1.0000,0.001
1.071,0.9998,0.001
1.092,1.0002,0.001
1.113,1.0000,0.001
1.134,0.9999,0.001
1.155,1.0001,0.001
1.176,0.9998,0.001
1.197,1.0000,0.001
1.218,0.9999,0.001
1.239,1.0001,0.001
1.260,0.9998,0.001
1.281,1.0000,0.001
1.302,0.9999,0.001
1.323,1.0002,0.001
1.344,1.0001,0.001
1.365,0.9998,0.001
1.386,1.0000,0.001
1.407,0.9999,0.001
1.428,1.0001,0.001
1.449,0.9998,0.001
1.470,1.0000,0.001
1.491,0.9892,0.001
1.512,0.9784,0.001
1.533,0.9781,0.001
1.554,0.9783,0.001
1.575,0.9891,0.001
1.596,0.9999,0.001
1.617,1.0001,0.001
1.638,0.9998,0.001
1.659,1.0000,0.001
1.680,0.9999,0.001
1.701,1.0002,0.001
1.722,1.0001,0.001
1.743,0.9998,0.001
1.764,1.0000,0.001
1.785,0.9999,0.001
1.806,1.0001,0.001
1.827,0.9998,0.001
1.848,1.0000,0.001
1.869,0.9999,0.001
1.890,1.0002,0.001
1.911,1.0000,0.001
1.932,0.9998,0.001
1.953,1.0001,0.001
1.974,0.9999,0.001
1.995,1.0000,0.001
